ID,DEPTH,INTENSITY,LATITUDE,LONGITUDE,TIME_STAMP
91,6.98,1.37,37.4770012,-118.7839966,2014-10-23T14:37:40.110Z
92,103.4,1.8,63.0548,-150.774,2014-10-23T14:28:38.000Z
93,0,1.2,65.0942,-148.982,2014-10-23T14:23:38.000Z
94,1.39,0.9,38.7946663,-122.7476654,2014-10-23T14:22:03.400Z
95,11.8123,2.48,40.297,-119.7156,2014-10-23T14:16:25.000Z
96,2.74,0.51,38.8226662,-122.7669983,2014-10-23T14:13:14.690Z
97,7.9,1.4,36.4693,-89.5443,2014-10-23T14:09:42.400Z
98,8.66,0.41,37.486,-118.8048333,2014-10-23T13:57:14.380Z
99,3.09,0.5,38.8131676,-122.7904968,2014-10-23T13:50:41.000Z
100,7.3,1.8,63.5156,-147.2975,2014-10-23T13:42:12.000Z
101,8.54,0.76,37.4861667,-118.7753333,2014-10-23T13:40:34.930Z
102,7.62,1.52,37.480999,-118.7821655,2014-10-23T13:31:29.700Z
103,10.65,0.9,37.421,-118.618,2014-10-23T13:26:08.280Z
104,9.5,0.4,63.0264,-149.2384,2014-10-23T13:11:40.000Z
105,2.04,0.81,36.0213318,-120.5865021,2014-10-23T13:05:37.940Z
106,5.54,0.74,37.4731667,-118.7876667,2014-10-23T12:58:28.690Z
107,7.04,0.48,37.47,-118.7966667,2014-10-23T12:57:34.780Z
108,3.3,2.07,36.1018333,-117.8506667,2014-10-23T12:55:30.220Z
109,35,5.5,-33.2159,-179.5067,2014-10-23T12:18:32.170Z
110,5.86,0.67,36.1036667,-117.8691667,2014-10-23T11:54:06.560Z
111,1.1,1.16,33.8711667,-117.6593333,2014-10-23T11:43:41.240Z
112,0.93,0.51,36.097,-117.8273333,2014-10-23T11:42:18.130Z
113,11.1585,0.91,39.397,-120.1693,2014-10-23T11:39:33.631Z
114,1.1,1.38,33.8735,-117.6641667,2014-10-23T11:21:12.500Z
115,1.2071,2.41,41.8852,-119.6364,2014-10-23T10:55:09.994Z
116,5.6,2.1,41.7787,-119.6443,2014-10-23T10:50:11.500Z
117,10.4,1.3,65.237,-149.0638,2014-10-23T10:33:39.000Z
118,62.9,1.6,60.6609,-151.7087,2014-10-23T10:01:22.000Z
119,86.1,4.7,-7.0649,154.8912,2014-10-23T09:56:44.040Z
120,124.29,5,5.7778,125.8688,2014-10-23T09:50:16.690Z
121,0.2,1.4,63.1766,-151.3189,2014-10-23T09:40:20.000Z
122,60,2,60.587,-151.6994,2014-10-23T09:10:38.000Z
123,10,2.5,19.1065,-64.898,2014-10-23T08:53:57.300Z
124,30.1,2.4,61.9491,-149.8655,2014-10-23T08:53:01.000Z
125,1.53,1.45,32.5288333,-115.6816667,2014-10-23T08:32:26.490Z
126,7.79,0.75,37.4745,-118.7898333,2014-10-23T08:26:26.920Z
127,10.17,1.09,32.9068333,-116.2588333,2014-10-23T08:25:53.940Z
128,6.73,1.51,37.4744987,-118.7881699,2014-10-23T08:23:03.600Z
129,2.51,0.93,38.8191681,-122.7641678,2014-10-23T08:00:41.090Z
130,111,3.1,17.9442,-68.361,2014-10-23T07:41:54.700Z
131,0.1,1.2,63.4997,-147.3163,2014-10-23T07:41:42.000Z
132,13.4,1,65.1358,-149.1203,2014-10-23T07:17:57.000Z
133,32.6,2.1,59.5362,-151.461,2014-10-23T07:13:14.000Z
134,2.43,0.45,38.841835,-122.8008347,2014-10-23T07:08:04.220Z
135,5,3,36.6497,-97.7205,2014-10-23T07:06:03.260Z
136,102.01,5.2,1.7454,127.2951,2014-10-23T06:59:20.670Z
137,-3.4,1.73,39.7201667,-110.8126667,2014-10-23T06:49:03.500Z
138,0,2.35,37.72,-116.0407,2014-10-23T06:29:11.414Z
139,10,4.7,64.5786,-17.4135,2014-10-23T06:27:02.520Z
140,2.5,0.52,38.8366661,-122.8539963,2014-10-23T06:19:30.440Z
141,3.5,1.3,19.477,-155.472,2014-10-23T06:15:30.600Z
142,9.37,0.28,37.6253333,-118.8688333,2014-10-23T06:12:56.150Z
143,1.47,2.7,36.4157,-97.0492,2014-10-23T06:06:23.280Z
144,10.1,1.3,65.2194,-149.0589,2014-10-23T06:05:14.000Z
145,98.5,2,61.3172,-151.5676,2014-10-23T06:04:35.000Z
146,22,0.5,47.5955,-122.85,2014-10-23T05:57:20.000Z
147,17.5,2.1,19.8577,-155.5242,2014-10-23T05:57:15.200Z
148,537.9,4.8,-17.5149,-178.9133,2014-10-23T05:51:49.520Z
149,21.81,2.27,40.2853333,-124.3458333,2014-10-23T05:37:52.620Z
150,0.05,0.84,38.8323326,-122.8296661,2014-10-23T05:36:56.840Z
151,2.44,0.57,38.7874985,-122.7458344,2014-10-23T05:17:44.570Z
152,13.85,1.99,34.7846667,-118.9333333,2014-10-23T05:11:39.470Z
153,11.2,1.23,33.4475,-116.5718333,2014-10-23T05:10:12.220Z
154,7.63,1.77,39.3125,-122.8485,2014-10-23T04:45:48.800Z
155,10.96,1.02,34.273,-118.4306667,2014-10-23T04:40:47.860Z
156,7.53,1.09,33.976,-117.0115,2014-10-23T04:28:03.430Z
157,12.9,1.6,65.191,-148.994,2014-10-23T04:19:33.000Z
158,17.4,2.7,65.2061,-148.9691,2014-10-23T04:17:18.000Z
159,28.3,3,64.4456,-149.8211,2014-10-23T04:16:58.000Z
160,7.16,0.13,37.6395,-118.9456667,2014-10-23T04:14:18.140Z
161,25.96,4.9,34.9153,73.85,2014-10-23T04:05:34.700Z
162,8.72,2.5,35.6064,-97.2107,2014-10-23T03:36:13.110Z
163,2.43,1.01,38.8293343,-122.8010025,2014-10-23T03:35:16.230Z
164,13.31,0.99,33.3816667,-116.262,2014-10-23T03:26:08.490Z
165,3.45,1.09,36.784668,-121.3718338,2014-10-23T03:08:40.470Z
166,45,1.9,59.5761,-152.1592,2014-10-23T02:59:53.000Z
167,4.47,2.7,36.1281,-97.6406,2014-10-23T02:58:35.110Z
168,14.9,1.2,65.1791,-149.026,2014-10-23T02:58:30.000Z
169,16.6242,1.18,40.3366,-119.7933,2014-10-23T02:55:45.199Z
170,12.9,0.4,64.4785,-147.509,2014-10-23T02:52:49.000Z
171,5,2.7,37.0215,-97.9134,2014-10-23T02:47:00.990Z
172,5.48,0.45,37.4783333,-118.7923333,2014-10-23T02:38:27.010Z
173,62.2,1.1,62.9452,-149.1477,2014-10-23T02:24:48.000Z
174,1.64,1.83,32.5201667,-115.6728333,2014-10-23T02:16:50.420Z
175,57.71,4.9,-15.9507,-173.8599,2014-10-23T02:15:28.520Z
176,7.31,0.18,44.7773333,-111.092,2014-10-23T01:57:03.310Z
177,3.1,1.3,44.2588333,-110.327,2014-10-23T01:43:10.750Z
178,3.58,0.86,38.8166656,-122.8225021,2014-10-23T01:30:33.310Z
179,18.52,1.77,33.7145,-116.8325,2014-10-23T01:28:37.060Z
180,15,1,64.5163,-149.3759,2014-10-23T01:27:39.000Z
181,18.98,1.02,33.7185,-116.8316667,2014-10-23T01:27:03.330Z
182,5,2.3,35.7478,-97.3864,2014-10-23T01:25:52.120Z
183,29,3,19.03,-65.0142,2014-10-23T01:25:30.600Z
184,12.8,1.45,33.477,-116.3981667,2014-10-23T01:24:05.650Z
185,0,1.59,37.8557,-117.6235,2014-10-23T01:09:39.572Z
186,5,2.8,18.8665,-65.1098,2014-10-23T01:07:49.700Z
187,0,1.5,63.5157,-146.7097,2014-10-23T00:55:45.000Z
188,6.33,1.73,39.2381668,-123.1426697,2014-10-23T00:40:27.120Z
189,8.81,2.59,34.4168333,-120.1686667,2014-10-23T00:35:37.370Z
190,12.51,1.68,41.7296667,-111.6476667,2014-10-23T00:24:19.480Z
191,98.82,4.8,-28.7397,-69.1993,2014-10-23T00:21:24.580Z
192,11.6,1.9,65.159,-149.0806,2014-10-23T00:08:29.000Z
193,0.9,1.3,19.2088,-155.6158,2014-10-22T23:58:35.900Z
194,5.33,3.3,37.0357,-97.8936,2014-10-22T23:48:07.720Z
195,2.5,1.19,38.8209991,-122.7633362,2014-10-22T23:46:44.460Z
196,5.85,1.17,34.3283333,-116.8195,2014-10-22T23:30:52.020Z
197,10.2,2,19.3578,-155.4122,2014-10-22T23:29:02.300Z
198,14,0.5,46.314,-122.3617,2014-10-22T23:21:02.700Z
199,32,2.6,18.9314,-65.3468,2014-10-22T22:59:24.700Z
200,0,1.5,64.9703,-147.3375,2014-10-22T22:59:07.000Z
201,5.74,1.78,35.8525,-119.7996667,2014-10-22T22:40:26.640Z
202,3.05,2.8,36.5062,-98.9803,2014-10-22T22:31:30.670Z
203,0,1.94,35.8271667,-119.8638333,2014-10-22T22:25:14.470Z
204,2.36,2.08,35.8651667,-119.797,2014-10-22T22:24:40.910Z
205,8.58,1.96,35.822,-119.7775,2014-10-22T22:16:29.630Z
206,21.94,2.44,32.3046667,-115.3578333,2014-10-22T22:00:16.710Z
207,10,5.3,14.9251,-44.922,2014-10-22T21:56:56.100Z
208,1.98,1.52,38.8388329,-122.8376694,2014-10-22T21:47:49.890Z
209,1.97,0.81,38.8390007,-122.836998,2014-10-22T21:47:35.970Z
210,0.01,1.54,35.0408333,-117.6811667,2014-10-22T21:34:02.800Z
211,2.54,0.56,38.8321648,-122.8073349,2014-10-22T21:29:24.950Z
212,1.1,1.49,33.1515,-115.6466667,2014-10-22T20:59:50.740Z
213,2.59,1.12,38.8224983,-122.8436661,2014-10-22T20:58:25.500Z
214,1.88,1.19,33.1361667,-115.651,2014-10-22T20:56:47.620Z
215,3.34,0.47,38.8100014,-122.7888336,2014-10-22T20:41:51.780Z
216,0.01,1.11,33.8668333,-117.513,2014-10-22T20:35:01.880Z
217,14.2,1.3,65.1684,-148.9763,2014-10-22T20:31:56.000Z
218,2.85,1.05,38.840332,-122.8281631,2014-10-22T20:31:51.530Z
219,10,4.9,-63.0312,170.991,2014-10-22T20:21:08.680Z
220,76.93,4.3,-6.0784,152.2906,2014-10-22T20:07:34.700Z
221,2.1,0.58,38.2531667,-112.8268333,2014-10-22T19:44:32.780Z
222,7.8,1.3,64.2649,-148.2574,2014-10-22T19:41:07.000Z
223,0.07,1.8,37.2768326,-122.1413345,2014-10-22T19:18:06.230Z
224,15,1.9,62.2421,-145.9036,2014-10-22T19:07:45.000Z
225,2.81,0.49,38.8101654,-122.8125,2014-10-22T19:00:35.040Z
226,4.5,1.4,65.3867,-149.9219,2014-10-22T18:59:03.000Z
227,7.74,0.61,35.759,-117.6693333,2014-10-22T18:48:51.590Z
228,98.9,2.4,60.1155,-152.7938,2014-10-22T18:46:24.000Z
229,8.5,0.83,35.7676667,-117.6768333,2014-10-22T18:43:58.010Z
230,0.1,1.5,65.4694,-149.9257,2014-10-22T18:39:59.000Z
231,118.4,1,63.3195,-148.7521,2014-10-22T18:39:21.000Z
232,2.76,1.32,38.015667,-122.4526672,2014-10-22T18:34:04.110Z
233,1,3.5,58.3591,-136.9866,2014-10-22T18:30:04.000Z
234,10.2,2.6,19.3943,-155.4325,2014-10-22T18:08:14.800Z
235,3.41,1.08,36.0696667,-117.8761667,2014-10-22T17:41:11.350Z
236,2.78,0.5,38.8086662,-122.8105011,2014-10-22T17:23:16.270Z
237,2.43,1.76,38.8084984,-122.8118362,2014-10-22T17:19:37.880Z
238,2.86,0.68,38.8088341,-122.8116684,2014-10-22T17:11:15.520Z
239,7.6,4.3,40.4047,30.1188,2014-10-22T17:11:05.620Z
240,3.07,0.43,38.8089981,-122.810997,2014-10-22T17:10:48.570Z
241,12.6,1,65.1275,-149.0924,2014-10-22T17:08:18.000Z
242,0.01,1.62,35.0453333,-118.3205,2014-10-22T16:58:39.120Z
243,4.56,1.11,38.7625008,-122.8925018,2014-10-22T16:54:05.140Z
244,2.7,0.7,19.4543,-155.5993,2014-10-22T16:53:57.300Z
245,84,3,59.7398,-152.5353,2014-10-22T16:53:12.000Z
246,2.59,0.43,38.8093338,-122.8121643,2014-10-22T16:52:19.760Z
247,0.3,2.1,63.9387,-149.07,2014-10-22T16:49:21.000Z
248,2.48,0.55,38.8048325,-122.8089981,2014-10-22T16:46:03.150Z
249,1.8,1.1,65.1296,-149.0151,2014-10-22T16:44:50.000Z
250,4.41,0.32,37.66,-118.8565,2014-10-22T16:44:34.770Z
251,9.2,1.7,65.179,-149.0757,2014-10-22T16:36:49.000Z
252,3.08,1,38.821167,-122.796669,2014-10-22T16:28:39.670Z
253,6.61,0.85,37.4841667,-118.7873333,2014-10-22T16:25:08.360Z
254,7.748,2.5,36.5012,-99.0867,2014-10-22T16:19:26.000Z
255,2.55,0.91,38.841835,-122.8273315,2014-10-22T16:17:45.930Z
256,2.74,1.32,38.8408318,-122.8276672,2014-10-22T16:15:37.570Z
257,2.54,2.55,35.8516667,-119.791,2014-10-22T16:08:24.450Z
258,5,2.8,36.5118,-99.0454,2014-10-22T16:04:47.600Z
259,2.9,0.78,38.8404999,-122.8276672,2014-10-22T16:04:16.420Z
260,6.907,3.5,36.5028,-99.0603,2014-10-22T15:58:22.200Z
261,2.23,0.92,38.840332,-122.8375015,2014-10-22T15:42:38.240Z
262,7.9,0.4,45.3103,-121.654,2014-10-22T15:34:08.500Z
263,13.2,2.26,33.4618333,-116.3883333,2014-10-22T15:24:29.560Z
264,1.88,2.04,33.155,-115.6396667,2014-10-22T15:09:51.220Z
265,3.814,2.9,35.9668,-97.3685,2014-10-22T15:03:35.900Z
266,11.1,1.2,65.1959,-149.0611,2014-10-22T15:03:07.000Z
267,2.79,1,38.7653351,-122.7125015,2014-10-22T14:40:31.380Z
268,1.1,1.54,33.1526667,-115.6391667,2014-10-22T14:28:08.700Z
269,4.11,2.07,33.1471667,-115.636,2014-10-22T14:23:13.770Z
270,1.59,1.76,33.151,-115.6373333,2014-10-22T14:22:52.010Z
271,2.17,0.95,35.492,-118.3033333,2014-10-22T14:20:06.020Z
272,1.28,1.55,38.8396683,-122.814003,2014-10-22T14:13:35.660Z
273,3.87,1.98,36.5613333,-121.1073333,2014-10-22T14:12:46.630Z
274,4.81,0.45,37.4756667,-118.796,2014-10-22T13:55:56.400Z
275,10.6,1.3,65.262,-149.0754,2014-10-22T13:54:44.000Z
276,8.72,0.78,33.5146667,-116.4558333,2014-10-22T13:49:18.620Z
277,2.13,1.56,33.1593333,-115.6206667,2014-10-22T13:48:44.660Z
278,6.43,0.85,37.4821667,-118.789,2014-10-22T13:48:20.080Z
279,3.55,1.15,38.8170013,-122.8215027,2014-10-22T13:46:30.250Z
280,0.75,1.5,33.1511667,-115.6356667,2014-10-22T13:46:11.500Z
281,4.7,1.3,47.8853,-121.632,2014-10-22T13:33:19.900Z
282,3.361,2.6,35.9674,-97.3696,2014-10-22T13:31:37.000Z
283,17.38,4.8,-63.2747,170.99,2014-10-22T13:30:16.910Z
284,4.14,1.12,33.5133333,-116.4623333,2014-10-22T13:23:57.200Z
285,8.07,4.6,64.6102,-17.5248,2014-10-22T13:21:33.290Z
286,22.27,2.24,40.2831667,-124.3593333,2014-10-22T13:13:54.870Z
287,6.42,0.52,37.5883333,-118.8128333,2014-10-22T13:07:02.270Z
288,3.1,1.3,65.1523,-149.0545,2014-10-22T12:54:43.000Z
289,4.31,0.46,37.4818333,-118.7686667,2014-10-22T12:43:26.710Z
290,10,5,-55.3417,-28.0031,2014-10-22T12:38:21.790Z
291,11.58,2.17,44.3463333,-111.0135,2014-10-22T12:27:44.330Z
292,5.4398,0.73,36.2624,-114.9625,2014-10-22T12:23:18.191Z
293,8.51,1.03,35.4778333,-118.836,2014-10-22T12:18:02.540Z
294,29.91,4.6,1.4092,126.4931,2014-10-22T12:10:43.150Z
295,14.37,0.49,33.6326667,-116.6961667,2014-10-22T11:59:58.150Z
296,4.11,0.88,38.8165016,-122.7981644,2014-10-22T11:56:09.750Z
297,16.46,1.29,33.6586667,-116.9306667,2014-10-22T11:50:43.640Z
298,13.54,0.96,33.2313333,-116.7328333,2014-10-22T11:49:16.910Z
299,2.53,0.99,38.8218346,-122.7645035,2014-10-22T11:46:16.270Z
300,6.4,1.2,65.115,-148.977,2014-10-22T11:45:30.000Z
301,2.35,0.99,38.821167,-122.7643356,2014-10-22T11:44:08.710Z
302,109,2,63.16,-150.501,2014-10-22T11:39:01.000Z
303,16.44,1.41,34.0163333,-117.024,2014-10-22T11:36:27.770Z
304,4,1.2,19.407,-155.6388,2014-10-22T11:30:45.900Z
305,7.8,1.7,60.3184,-141.2736,2014-10-22T11:29:18.000Z
306,96.8,4.7,-15.2497,-72.8162,2014-10-22T11:23:24.840Z
307,1.91,1.25,38.7858315,-122.7365036,2014-10-22T11:10:21.740Z
308,59.3,2.9,59.7222,-151.4125,2014-10-22T11:02:44.000Z
309,2.53,0.82,38.7773323,-122.7173309,2014-10-22T10:46:34.020Z
310,0,1.9,60.1776,-141.324,2014-10-22T10:39:31.000Z
311,17.14,1,33.9281667,-116.8666667,2014-10-22T10:29:01.590Z
312,3.3,0.41,37.4846667,-118.7878333,2014-10-22T10:27:48.040Z
313,4.73,0.56,38.8186684,-122.8294983,2014-10-22T10:25:49.760Z
314,19.3,1.2,47.5775,-113.6836,2014-10-22T10:21:55.400Z
315,50.5,5.2,51.6804,-176.9269,2014-10-22T10:16:19.840Z
316,9.52,0.5,33.5155,-116.4575,2014-10-22T10:08:02.790Z
317,6.16,0.73,37.4813333,-118.793,2014-10-22T10:00:33.450Z
318,1.1,1.18,33.1558333,-115.6461667,2014-10-22T09:59:32.320Z
319,1,3.4,60.373,-158.1497,2014-10-22T09:45:27.000Z
320,0.6,1.7,65.0977,-148.9941,2014-10-22T09:34:07.000Z
321,0.0043,0.66,41.8775,-119.6117,2014-10-22T09:32:48.106Z
322,2.39,0.81,38.7654991,-122.734169,2014-10-22T09:23:46.500Z
323,8.7,4.8,64.5807,-17.3011,2014-10-22T09:11:51.940Z
324,4.29,1.01,36.0951667,-117.8701667,2014-10-22T09:04:15.870Z
325,0,0.89,37.6844,-116.1488,2014-10-22T08:44:07.651Z
326,21.8,1.7,60.7147,-148.8469,2014-10-22T08:20:09.000Z
327,38,2.5,18.9195,-65.2764,2014-10-22T08:15:48.900Z
328,24,2.4,18.9493,-65.3646,2014-10-22T08:08:34.100Z
329,48,2.7,18.8855,-65.3103,2014-10-22T08:07:24.300Z
330,3.9692,0.11,36.8794,-116.0707,2014-10-22T07:51:13.233Z
331,15.9,1.7,60.4574,-143.8707,2014-10-22T07:37:06.000Z
332,11.3,1.7,65.1692,-149.0714,2014-10-22T07:26:39.000Z
333,5.8,1,65.1849,-149.0363,2014-10-22T07:08:27.000Z
334,12.2,1.4,60.1445,-141.4639,2014-10-22T07:05:13.000Z
335,65,2.7,18.1636,-67.6613,2014-10-22T07:01:39.400Z
336,9.7,0.8,63.42,-148.6621,2014-10-22T06:49:13.000Z
337,5.43,1.07,33.8846667,-117.7383333,2014-10-22T06:30:39.020Z
338,2.6,0.82,38.8231659,-122.8416672,2014-10-22T06:27:31.650Z
339,-0.71,1.53,38.9626667,-111.3835,2014-10-22T06:24:27.550Z
340,1.34,0.68,38.8293343,-122.8079987,2014-10-22T06:22:59.320Z
341,2.37,0.55,38.8246651,-122.8420029,2014-10-22T06:16:55.890Z
342,11.7,1,65.1856,-149.0034,2014-10-22T06:04:10.000Z
343,34.1,1.3,61.9069,-150.4213,2014-10-22T05:59:44.000Z
344,2.45,1.85,38.9611667,-111.3975,2014-10-22T05:52:17.640Z
345,0,1.8,47.2545,-122.6038,2014-10-22T05:39:15.200Z
346,47.9,1.5,63.623,-147.9532,2014-10-22T05:38:05.000Z
347,3.1,0.15,37.6188333,-118.8588333,2014-10-22T05:36:25.140Z
348,10,4.6,64.5361,-17.6518,2014-10-22T05:24:26.770Z
349,0,1.03,41.8867,-119.6304,2014-10-22T05:08:15.074Z
350,7.8,0.17,37.6371667,-118.9331667,2014-10-22T05:05:01.040Z
351,8.32,0.37,37.6391667,-118.93,2014-10-22T05:03:50.300Z
352,1.95,1.75,38.9613333,-111.398,2014-10-22T05:02:50.880Z
353,8.03,1.11,37.6391678,-118.93367,2014-10-22T05:02:37.200Z
354,8.04,0.36,37.6385,-118.9335,2014-10-22T05:01:21.200Z
355,-2.9,2.46,38.97,-111.4266667,2014-10-22T04:53:31.270Z
356,16.61,1.12,35.7540016,-121.2146683,2014-10-22T04:45:50.250Z
357,6.81,1.25,36.5568352,-121.1545029,2014-10-22T04:40:29.450Z
358,2,0.8,38.8258324,-122.8646698,2014-10-22T04:39:45.660Z
359,10.8866,0.63,36.6769,-115.6463,2014-10-22T04:36:48.837Z
360,7.1,1.6,45.3178,-121.66,2014-10-22T04:27:57.700Z
361,40.1,1.7,62.4136,-148.1721,2014-10-22T04:25:45.000Z
362,14,1.2,65.198,-149.082,2014-10-22T04:20:42.000Z
363,49.55,4.7,-6.8592,105.366,2014-10-22T04:14:44.040Z
364,5,2.4,37.0475,-97.9195,2014-10-22T04:09:16.510Z
